DataType,Date,Station id,Value,Station name,Latitude,Longitude
PRCP,2017-09-15,GHCND:RQC00663532,0.3,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-15,GHCND:RQC00665908,0.0,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-15,GHCND:RQ1PRUT0002,0.0,"UTUADO 5.5 W, US",18.26838889,-66.78986111
PRCP,2017-09-15,GHCND:RQ1PRPC0006,1.35,"PONCE 2.3 NE, US",18.01247,-66.5874
PRCP,2017-09-15,GHCND:RQ1PRPC0002,0.0,"PONCE 3.2 NNE, US",18.031824,-66.599561
PRCP,2017-09-15,GHCND:RQ1PRCR0001,0.0,"CABO ROJO 0.8 SE, US",18.08128,-67.13942
PRCP,2017-09-15,GHCND:RQC00668536,0.0,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-15,GHCND:RQ1PRSS0001,0.78,"SAN SEBASTIAN 2.1 NNE, US",18.367881,-66.988509
PRCP,2017-09-15,GHCND:RQC00663431,0.0,"DOS BOCAS, US",18.3361,-66.6666
PRCP,2017-09-15,GHCND:RQ1PRAC0001,0.0,"ARECIBO 5.2 ESE, US",18.441404,-66.658861
PRCP,2017-09-15,GHCND:RQC00669415,0.2,"TOA BAJA LEVITTOWN, US",18.4356,-66.1678
PRCP,2017-09-15,GHCND:RQC00660158,1.48,"AIBONITO 1 S, US",18.128,-66.2641
PRCP,2017-09-15,GHCND:RQ1PRSJ0006,0.51,"SAN JUAN 3.0 NNW, US",18.4496,-66.0772
PRCP,2017-09-15,GHCND:RQC00665911,0.0,"MARICAO FISH HATCHERY, US",18.1725,-66.9872
PRCP,2017-09-15,GHCND:RQ1PRSJ0003,0.09,"SAN JUAN 3.1 ESE, US",18.391476,-66.019955
PRCP,2017-09-15,GHCND:RQC00662801,0.0,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-16,GHCND:RQC00660158,0.0,"AIBONITO 1 S, US",18.128,-66.2641
PRCP,2017-09-16,GHCND:RQ1PRAC0001,0.76,"ARECIBO 5.2 ESE, US",18.441404,-66.658861
PRCP,2017-09-16,GHCND:RQ1PRSJ0003,0.0,"SAN JUAN 3.1 ESE, US",18.391476,-66.019955
PRCP,2017-09-16,GHCND:RQC00662801,1.65,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-16,GHCND:RQC00668536,0.0,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-16,GHCND:RQC00669415,0.0,"TOA BAJA LEVITTOWN, US",18.4356,-66.1678
PRCP,2017-09-16,GHCND:RQ1PRCR0001,0.0,"CABO ROJO 0.8 SE, US",18.08128,-67.13942
PRCP,2017-09-16,GHCND:RQ1PRSS0001,0.61,"SAN SEBASTIAN 2.1 NNE, US",18.367881,-66.988509
PRCP,2017-09-16,GHCND:RQC00663431,0.42,"DOS BOCAS, US",18.3361,-66.6666
PRCP,2017-09-16,GHCND:RQ1PRSJ0006,0.0,"SAN JUAN 3.0 NNW, US",18.4496,-66.0772
PRCP,2017-09-16,GHCND:RQ1PRUT0002,0.0,"UTUADO 5.5 W, US",18.26838889,-66.78986111
PRCP,2017-09-16,GHCND:RQC00663532,0.0,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-16,GHCND:RQC00665908,0.93,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-16,GHCND:RQ1PRPC0002,0.0,"PONCE 3.2 NNE, US",18.031824,-66.599561
PRCP,2017-09-17,GHCND:RQ1PRPC0002,0.0,"PONCE 3.2 NNE, US",18.031824,-66.599561
PRCP,2017-09-17,GHCND:RQC00663532,0.0,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-17,GHCND:RQ1PRCR0001,0.0,"CABO ROJO 0.8 SE, US",18.08128,-67.13942
PRCP,2017-09-17,GHCND:RQC00668536,0.0,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-17,GHCND:RQ1PRUT0002,0.0,"UTUADO 5.5 W, US",18.26838889,-66.78986111
PRCP,2017-09-17,GHCND:RQ1PRSS0001,0.08,"SAN SEBASTIAN 2.1 NNE, US",18.367881,-66.988509
PRCP,2017-09-17,GHCND:RQC00665908,0.0,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-17,GHCND:RQC00662801,0.0,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-17,GHCND:RQC00663431,0.3,"DOS BOCAS, US",18.3361,-66.6666
PRCP,2017-09-17,GHCND:RQ1PRSJ0006,0.0,"SAN JUAN 3.0 NNW, US",18.4496,-66.0772
PRCP,2017-09-17,GHCND:RQ1PRAC0001,0.02,"ARECIBO 5.2 ESE, US",18.441404,-66.658861
PRCP,2017-09-17,GHCND:RQC00669415,0.0,"TOA BAJA LEVITTOWN, US",18.4356,-66.1678
PRCP,2017-09-17,GHCND:RQ1PRSJ0003,0.0,"SAN JUAN 3.1 ESE, US",18.391476,-66.019955
PRCP,2017-09-17,GHCND:RQC00660158,0.0,"AIBONITO 1 S, US",18.128,-66.2641
PRCP,2017-09-18,GHCND:RQ1PRAC0001,0.01,"ARECIBO 5.2 ESE, US",18.441404,-66.658861
PRCP,2017-09-18,GHCND:RQC00665908,0.61,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-18,GHCND:RQC00662801,0.0,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-18,GHCND:RQ1PRUT0002,0.28,"UTUADO 5.5 W, US",18.26838889,-66.78986111
PRCP,2017-09-18,GHCND:RQC00669415,0.17,"TOA BAJA LEVITTOWN, US",18.4356,-66.1678
PRCP,2017-09-18,GHCND:RQC00663532,0.0,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-18,GHCND:RQ1PRPC0002,0.66,"PONCE 3.2 NNE, US",18.031824,-66.599561
PRCP,2017-09-18,GHCND:RQ1PRSJ0006,0.07,"SAN JUAN 3.0 NNW, US",18.4496,-66.0772
PRCP,2017-09-18,GHCND:RQC00660158,0.53,"AIBONITO 1 S, US",18.128,-66.2641
PRCP,2017-09-18,GHCND:RQC00665911,1.22,"MARICAO FISH HATCHERY, US",18.1725,-66.9872
PRCP,2017-09-18,GHCND:RQ1PRSS0001,0.29,"SAN SEBASTIAN 2.1 NNE, US",18.367881,-66.988509
PRCP,2017-09-18,GHCND:RQC00668536,0.09,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-18,GHCND:RQC00663431,0.37,"DOS BOCAS, US",18.3361,-66.6666
PRCP,2017-09-18,GHCND:RQ1PRSJ0003,0.73,"SAN JUAN 3.1 ESE, US",18.391476,-66.019955
PRCP,2017-09-19,GHCND:RQC00665908,2.0,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-19,GHCND:RQC00662801,0.0,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-19,GHCND:RQ1PRUT0002,0.37,"UTUADO 5.5 W, US",18.26838889,-66.78986111
PRCP,2017-09-19,GHCND:RQC00663431,0.24,"DOS BOCAS, US",18.3361,-66.6666
PRCP,2017-09-19,GHCND:RQC00668536,0.0,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-19,GHCND:RQ1PRPC0002,0.1,"PONCE 3.2 NNE, US",18.031824,-66.599561
PRCP,2017-09-19,GHCND:RQ1PRPC0006,0.57,"PONCE 2.3 NE, US",18.01247,-66.5874
PRCP,2017-09-19,GHCND:RQ1PRSS0001,0.04,"SAN SEBASTIAN 2.1 NNE, US",18.367881,-66.988509
PRCP,2017-09-19,GHCND:RQC00660158,0.08,"AIBONITO 1 S, US",18.128,-66.2641
PRCP,2017-09-19,GHCND:RQC00663532,0.0,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-20,GHCND:RQC00665908,1.8,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-20,GHCND:RQC00663532,0.0,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-20,GHCND:RQC00662801,10.0,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-20,GHCND:RQC00668536,2.3,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-20,GHCND:RQC00663431,17.33,"DOS BOCAS, US",18.3361,-66.6666
PRCP,2017-09-20,GHCND:RQ1PRTR0002,15.43,"TRUJILLO ALTO 0.8 WSW, US",18.36,-66.03
PRCP,2017-09-20,GHCND:RQ1PRCR0001,0.07,"CABO ROJO 0.8 SE, US",18.08128,-67.13942
PRCP,2017-09-21,GHCND:RQ1PRCR0001,7.62,"CABO ROJO 0.8 SE, US",18.08128,-67.13942
PRCP,2017-09-21,GHCND:RQC00663532,9.3,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-21,GHCND:RQC00665908,13.25,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-21,GHCND:RQC00668536,2.78,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-21,GHCND:RQC00662801,0.6,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-21,GHCND:RQC00665911,22.0,"MARICAO FISH HATCHERY, US",18.1725,-66.9872
PRCP,2017-09-22,GHCND:RQ1PRCR0001,0.41,"CABO ROJO 0.8 SE, US",18.08128,-67.13942
PRCP,2017-09-22,GHCND:RQC00668536,1.16,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-22,GHCND:RQC00665908,1.5,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-22,GHCND:RQC00663532,0.28,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-22,GHCND:RQC00660158,2.47,"AIBONITO 1 S, US",18.128,-66.2641
PRCP,2017-09-22,GHCND:RQC00662801,0.0,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-23,GHCND:RQC00662801,0.2,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-23,GHCND:RQC00668536,1.77,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-23,GHCND:RQC00660158,2.0,"AIBONITO 1 S, US",18.128,-66.2641
PRCP,2017-09-23,GHCND:RQC00663532,1.22,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-23,GHCND:RQC00665908,1.15,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-23,GHCND:RQ1PRCR0001,1.06,"CABO ROJO 0.8 SE, US",18.08128,-67.13942
PRCP,2017-09-24,GHCND:RQC00665908,0.0,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-24,GHCND:RQC00662801,0.0,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-24,GHCND:RQC00663532,0.62,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-24,GHCND:RQC00660158,0.32,"AIBONITO 1 S, US",18.128,-66.2641
PRCP,2017-09-24,GHCND:RQC00668536,0.4,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-24,GHCND:RQ1PRSJ0003,0.0,"SAN JUAN 3.1 ESE, US",18.391476,-66.019955
PRCP,2017-09-24,GHCND:RQ1PRCR0001,0.06,"CABO ROJO 0.8 SE, US",18.08128,-67.13942
PRCP,2017-09-25,GHCND:RQ1PRCR0001,0.31,"CABO ROJO 0.8 SE, US",18.08128,-67.13942
PRCP,2017-09-25,GHCND:RQC00660158,0.0,"AIBONITO 1 S, US",18.128,-66.2641
PRCP,2017-09-25,GHCND:RQ1PRSJ0003,0.0,"SAN JUAN 3.1 ESE, US",18.391476,-66.019955
PRCP,2017-09-25,GHCND:RQC00668536,0.18,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-25,GHCND:RQC00662801,0.0,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-25,GHCND:RQC00665908,0.4,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-25,GHCND:RQC00663532,0.0,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-26,GHCND:RQ1PRCR0001,0.0,"CABO ROJO 0.8 SE, US",18.08128,-67.13942
PRCP,2017-09-26,GHCND:RQC00662801,0.0,"COLOSO, US",18.3808,-67.1569
PRCP,2017-09-26,GHCND:RQC00660158,0.0,"AIBONITO 1 S, US",18.128,-66.2641
PRCP,2017-09-26,GHCND:RQC00668536,0.37,"SABANA GRANDE 2 ENE, US",18.0888,-66.93
PRCP,2017-09-26,GHCND:RQC00665908,0.0,"MARICAO 2 SSW, US",18.1511,-66.9888
PRCP,2017-09-26,GHCND:RQC00663532,0.0,"ENSENADA 1 W, US",17.9727,-66.9458
PRCP,2017-09-26,GHCND:RQ1PRSJ0003,0.05,"SAN JUAN 3.1 ESE, US",18.391476,-66.019955
